,Class,training,cidi_prob,cido_prob,codi_prob,codo_prob,wcd_prob,dfg_conf,dfg_prob,p1p1x,p2p2x,r3r3x,h_cgvc,ang_NHs,ang_CHs,dist_NH,dist_CH
2160,cido,,0.045,0.953,0.0,0.0,0.002,do,0.997,-0.716666725,-0.754031557,-0.648103966,0.983793592,-0.12637303076060047,-0.09407980853733966,-0.2092201889299519,0.033731245666142946
2161,cidi,,0.976,0.006,0.011,0.0,0.007,di,0.984,0.914681228,0.6930859,0.8852046570000001,0.945254015,-0.01260607651679884,-0.0559218171450826,-0.07395033350890783,-0.10895750921772313
2162,cidi,,0.97,0.009,0.012,0.002,0.007,di,0.984,0.964153565,0.761563694,0.8543971570000001,0.945778419,-0.021992650168485815,-0.03729098800431226,-0.05620006959090362,-0.14728062494542052
2163,cidi,,0.999,0.0,0.0,0.0,0.001,di,1.0,0.998397162,0.998115228,0.998810252,0.986053516,-0.11566359687288418,-0.1175825424636531,-0.11870562531434305,-0.1346300959846866
2164,cidi,,0.996,0.002,0.001,0.0,0.001,di,1.0,0.991089167,0.994774754,0.999028083,0.991488567,-0.11615819201990961,-0.0915967303440533,-0.1543237699267741,-0.1499959776992233
2165,cidi,,0.998,0.001,0.0,0.0,0.001,di,1.0,0.994262078,0.996487127,0.999614747,0.986417026,-0.10329311345581749,-0.11307212367676818,-0.1457474387169196,-0.1467506872568281
2166,cidi,,0.838,0.032,0.097,0.009,0.024,di,0.997,0.91187918,0.99613222,0.972888405,0.891352371,0.07952803517225508,0.059897551854787616,-0.07510454778691096,-0.05639427170393116
2167,codi,,0.0,0.0,0.971,0.018,0.011,di,0.965,0.997909768,0.952981087,0.996910135,0.280783596,0.44700926726472423,0.4384191361550647,0.41803927522011014,0.44210879403083053
2168,codi,,0.0,0.0,0.977,0.015,0.008,di,0.965,0.996818064,0.963642912,0.993998581,0.241293945,0.4557912891357463,0.4504229620558198,0.43473091879989106,0.443502770426274
2169,cidi,,0.994,0.005,0.001,0.0,0.0,di,1.0,0.994410381,0.98946538,0.999376972,0.955276114,-0.049516553658517724,-0.11948482622598215,-0.15527734791375936,-0.031397372031040406
